experiment	cell_line	population	mTurq	mCherry_selection	construct	mCh_status	replicate
E2259	23_34A	P1	22147	mCh+	34	mCh	NA
E2259	23_34A	P2	7683	mCh+	34	mCh	NA
E2259	23_34A	P3	3615	mCh+	34	mCh	NA
E2259	23_34A	P4	1861	mCh+	34	mCh	NA
E2259	23_34A	P5	817	mCh+	34	mCh	NA
E2259	23_34A	P6	337	mCh+	34	mCh	NA
E2096	23_34A	P1	25412	none	34	mCh	NA
E2096	23_34A	P2	7259	none	34	mCh	NA
E2096	23_34A	P3	3637	none	34	mCh	NA
E2096	23_34A	P4	1928	none	34	mCh	NA
E2096	23_34A	P5	929	none	34	mCh	NA
E2096	23_34A	P6	303	none	34	mCh	NA
E2270	23_34A	P1	24654	mCh+	34	mCh	NA
E2270	23_34A	P2	7146	mCh+	34	mCh	NA
E2270	23_34A	P3	3797	mCh+	34	mCh	NA
E2270	23_34A	P4	2025	mCh+	34	mCh	NA
E2270	23_34A	P5	963	mCh+	34	mCh	NA
E2270	23_34A	P6	310	mCh+	34	mCh	NA
E2555	C9_mCh_34	P1	23400.5	mCh+	34	mCh	rep1
E2555	C9_mCh_34	P2	9397	mCh+	34	mCh	rep1
E2555	C9_mCh_34	P3	4336	mCh+	34	mCh	rep1
E2555	C9_mCh_34	P4	2171	mCh+	34	mCh	rep1
E2555	C9_mCh_34	P5	507	mCh+	34	mCh	rep1
E2555	C9_mCh_34	P6	302	mCh+	34	mCh	rep1
E2555	C9_mCh-_34	P1	24534	mCh-	34	mCh-	rep1
E2555	C9_mCh-_34	P2	7858	mCh-	34	mCh-	rep1
E2555	C9_mCh-_34	P3	4177	mCh-	34	mCh-	rep1
E2555	C9_mCh-_34	P4	2195	mCh-	34	mCh-	rep1
E2555	C9_mCh-_34	P5	1152	mCh-	34	mCh-	rep1
E2555	C9_mCh-_34	P6	307	mCh-	34	mCh-	rep1
E2555	C9_mCh_41	P1	NA	mCh+	41	mCh	rep1
E2555	C9_mCh_41	P2	7173	mCh+	41	mCh	rep1
E2555	C9_mCh_41	P3	4164	mCh+	41	mCh	rep1
E2555	C9_mCh_41	P4	2055	mCh+	41	mCh	rep1
E2555	C9_mCh_41	P5	528	mCh+	41	mCh	rep1
E2555	C9_mCh_41	P6	313	mCh+	41	mCh	rep1
E2555	C9_mCh-_41	P1	21957	mCh-	41	mCh-	rep1
E2555	C9_mCh-_41	P2	8079	mCh-	41	mCh-	rep1
E2555	C9_mCh-_41	P3	5083	mCh-	41	mCh-	rep1
E2555	C9_mCh-_41	P4	2498	mCh-	41	mCh-	rep1
E2555	C9_mCh-_41	P5	1040	mCh-	41	mCh-	rep1
E2555	C9_mCh-_41	P6	307	mCh-	41	mCh-	rep1
E2555	C9_mCh_34	P1	23400.5	mCh+	34	mCh	rep2
E2555	C9_mCh_34	P2	10443	mCh+	34	mCh	rep2
E2555	C9_mCh_34	P3	4512	mCh+	34	mCh	rep2
E2555	C9_mCh_34	P4	2127	mCh+	34	mCh	rep2
E2555	C9_mCh_34	P5	539	mCh+	34	mCh	rep2
E2555	C9_mCh_34	P6	267	mCh+	34	mCh	rep2
E2555	C9_mCh-_34	P1	29309	mCh-	34	mCh-	rep2
E2555	C9_mCh-_34	P2	8616	mCh-	34	mCh-	rep2
E2555	C9_mCh-_34	P3	4290	mCh-	34	mCh-	rep2
E2555	C9_mCh-_34	P4	2183	mCh-	34	mCh-	rep2
E2555	C9_mCh-_34	P5	1088	mCh-	34	mCh-	rep2
E2555	C9_mCh-_34	P6	296	mCh-	34	mCh-	rep2
E2555	C9_mCh_41	P1	NA	mCh+	41	mCh	rep2
E2555	C9_mCh_41	P2	7660	mCh+	41	mCh	rep2
E2555	C9_mCh_41	P3	4483	mCh+	41	mCh	rep2
E2555	C9_mCh_41	P4	2072	mCh+	41	mCh	rep2
E2555	C9_mCh_41	P5	551	mCh+	41	mCh	rep2
E2555	C9_mCh_41	P6	249	mCh+	41	mCh	rep2
E2555	C9_mCh-_41	P1	21668	mCh-	41	mCh-	rep2
E2555	C9_mCh-_41	P2	8061	mCh-	41	mCh-	rep2
E2555	C9_mCh-_41	P3	4857	mCh-	41	mCh-	rep2
E2555	C9_mCh-_41	P4	2442	mCh-	41	mCh-	rep2
E2555	C9_mCh-_41	P5	1044	mCh-	41	mCh-	rep2
E2555	C9_mCh-_41	P6	281	mCh-	41	mCh-	rep2
