WELL	cell_line	GV_selected	clone_names	constructs
A01	23	no	23_34_1	34
A02	23	no	23_34_2	34
A03	23	no	23_34_3	34
B01	23	no	23_40_1	40
B02	23	no	23_40_2	40
B03	23	no	23_40_3	40
C01	23	no	23_41_1	41
C02	23	no	23_41_2	41
C03	23	no	23_41_3	41
D01	23	no	23_UT_1	UT
D02	23	no	23_UT_2	UT
D03	23	no	23_UT_3	UT
E01	8	no	8_34_1	34
E02	8	no	8_34_2	34
E03	8	no	8_34_3	34
F01	8	no	8_40_1	40
F02	8	no	8_40_2	40
F03	8	no	8_40_3	40
G01	8	no	8_41_1	41
G02	8	no	8_41_2	41
G03	8	no	8_41_3	41
H01	8	no	8_UT_1	UT
H02	8	no	8_UT_2	UT
H03	8	no	8_UT_3	UT
A10	8	yes	8_34_8	34
A04	8	yes	8_34_2	34
A05	8	yes	8_34_3	34
A06	8	yes	8_34_4	34
A07	8	yes	8_34_5	34
A08	8	yes	8_34_6	34
A09	8	yes	8_34_7	34
B04	8	yes	8_40_1	40
B05	8	yes	8_40_2	40
B06	8	yes	8_40_3	40
B07	8	yes	8_40_4	40
B08	8	yes	8_40_7	40
C04	8	yes	8_41_1	41
E04	23	yes	23_34	34
E05	C9	yes	C9_34	34
E06	C10	yes	C10_34	34
F04	23	yes	23_40	40
F05	C9	yes	C9_40	40
F06	C10	yes	C10_40	40
G04	23	yes	23_41	41
G05	C9	yes	C9_41	41
G06	C10	yes	C10_41	41
H04	23	yes	23_tf_ctrl	ctrl
H05	C9	yes	C9_tf_ctrl	ctrl
H06	C10	yes	C10_tf_ctrl	ctrl
E10	WT	no	WT_ctrl_1	WT
E11	23	no	23_34_ctrl_1	23_34A_ctrl
E12	8	no	8_34_8_ctrl_1	8_34_8_ctrl
F10	WT	no	WT_ctrl_2	WT
F11	23	no	23_34_ctrl_2	23_34A_ctrl
F12	8	no	8_34_8_ctrl_2	8_34_8_ctrl
G10	WT	no	WT_ctrl_3	WT
G11	23	no	23_34_ctrl_3	23_34A_ctrl
G12	8	no	8_34_8_ctrl_3	8_34_8_ctrl
